EAN,Article Libellé Long,PAHT,PVC,PV Mag,TVA en %,Quantité vendue *,Stock en quantité,File_Index,Date,Month,Year,Year_Month,Buying Cost without Taxes,Buying Cost with Taxes,Revenue,Profit
7610400084895,CHOCOLETTI LT PRALIN 100G,1.559999942779541,1.75,1.75,0.054999999701976776,15.0,36,0,2024-01-06,1,2024,2024_01,23.4,24.69,26.25,1.5599999999999987
3046920045315,SENS FT FRAMB CRANB LINDT,3.359999895095825,3.759999990463257,3.759999990463257,0.054999999701976776,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920047852,LINDT SENS.CRISPY CEREA,2.5,3.490000009536743,3.490000009536743,0.054999999701976776,0.0,18,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920047883,160G SENS FRUIT FRAMB CRA,2.430000066757202,3.6500000953674316,3.6500000953674316,0.054999999701976776,0.0,18,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920022408,COF EXC ASSORT CARRES176G,5.239999771118164,5.989999771118164,5.989999771118164,0.054999999701976776,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920071970,173G BALLOTIN CREATION,6.96999979019165,6.989999771118164,6.989999771118164,0.054999999701976776,1.0,8,0,2024-01-06,1,2024,2024_01,6.97,7.35,6.99,-0.35999999999999943
3046920071987,183G BALLOTIN CONNAISSEUR,6.980000019073486,7.989999771118164,7.989999771118164,0.054999999701976776,0.0,17,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
7610400020206,LINDT NAPOLITAIN ASS.500G,9.699999809265137,11.789999961853027,11.789999961853027,0.054999999701976776,2.0,11,0,2024-01-06,1,2024,2024_01,19.4,20.47,23.58,3.1099999999999994
8003340000350,200GR CORNET LINDOR CARAM,5.420000076293945,5.989999771118164,5.989999771118164,0.054999999701976776,0.0,3,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
8003340073545,LINDT BL.LINDOR LAIT 200G,4.599999904632568,5.989999771118164,5.989999771118164,0.054999999701976776,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
8003340090177,LINDT BL LINDOR LAIT 200G,5.420000076293945,5.989999771118164,5.989999771118164,0.054999999701976776,3.0,7,0,2024-01-06,1,2024,2024_01,16.26,17.15,17.97,0.8200000000000003
8003340095363,237G BL LINDOR ASS AUTMN,5.699999809265137,5.449999809265137,5.449999809265137,0.054999999701976776,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
8003340096902,237G BL LINDOR ASS,5.699999809265137,6.699999809265137,6.699999809265137,0.054999999701976776,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
8003340097244,L.LINDOR ASS.CORNET 200G,5.400000095367432,6.090000152587891,6.090000152587891,0.054999999701976776,3.0,6,0,2024-01-06,1,2024,2024_01,16.2,17.09,18.27,1.1799999999999997
8013108004568,165G LINDT NUXOR LAIT,6.300000190734863,6.75,6.75,0.20000000298023224,0.0,10,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
8013108006647,165G LINDT NUXOR ASSORTIS,6.159999847412109,6.539999961853027,6.539999961853027,0.20000000298023224,1.0,13,0,2024-01-06,1,2024,2024_01,6.16,7.39,6.54,-0.8499999999999996
3046920608503,BOUTIQ LINDOR NR NST 200U,947.5999755859375,938.0,938.0,0.054999999701976776,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920002493,CONNAISSEURS CROQ. 405G,13.020000457763672,15.289999961853027,15.289999961853027,0.054999999701976776,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
4000539765346,100G LINDT BTE MINI PRALI,4.639999866485596,5.489999771118164,5.489999771118164,0.054999999701976776,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920605557,BOUT LINDOR BTKDO LT&A 10,1035.719970703125,1078.9200439453125,1078.9200439453125,0.054999999701976776,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920008457,CREATION MIGNARDISES 430G,10.289999961853027,12.289999961853027,12.289999961853027,0.054999999701976776,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920010566,LINDT CREATION COLLECTION,9.630000114440918,12.289999961853027,12.289999961853027,0.054999999701976776,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920011334,469G BTE CHAMPS-ELYSEES A,13.010000228881836,14.390000343322754,14.390000343322754,0.054999999701976776,26.0,0,0,2024-01-06,1,2024,2024_01,338.26,356.86,374.14,17.279999999999973
3046920011358,LINDT CHAMPS.ELYS.EDIT.OR,13.0,14.390000343322754,14.390000343322754,0.054999999701976776,18.0,0,0,2024-01-06,1,2024,2024_01,234.0,246.87,259.02,12.149999999999977
3046920011952,345G LINDT BTE PRESTIGE S,12.40999984741211,14.489999771118164,14.489999771118164,0.054999999701976776,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046921010022,CREATION DESSERT 451G,10.270000457763672,15.489999771118164,15.489999771118164,0.054999999701976776,12.0,0,0,2024-01-06,1,2024,2024_01,123.24,130.02,185.88,55.859999999999985
3046920002004,460G CHAMPS-ELYS ED TRIOM,13.010000228881836,14.390000343322754,14.390000343322754,0.054999999701976776,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920002622,CHAMPS-ELYSEES NOIR BTE,13.010000228881836,14.390000343322754,14.390000343322754,0.054999999701976776,13.0,0,0,2024-01-06,1,2024,2024_01,169.13,178.43,187.07,8.639999999999986
3046920002639,400G BTE CNN NOIR SELECTI,11.819999694824219,15.289999961853027,15.289999961853027,0.054999999701976776,6.0,0,0,2024-01-06,1,2024,2024_01,70.92,74.82,91.74,16.92
3046920002677,CONNAISSEURS PRALINES BTE,13.239999771118164,13.989999771118164,13.989999771118164,0.054999999701976776,16.0,0,0,2024-01-06,1,2024,2024_01,211.84,223.49,223.84,0.3499999999999943
3046920006385,CONNAISSEURS FINS PALETS,11.300000190734863,15.289999961853027,15.289999961853027,0.054999999701976776,11.0,0,0,2024-01-06,1,2024,2024_01,124.3,131.14,168.19,37.05000000000001
3046920011341,482G BTE CHAMPS-ELYSEES L,13.010000228881836,14.390000343322754,14.390000343322754,0.054999999701976776,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920011525,465G CHAMPS-ELY EDIT,13.140000343322754,14.390000343322754,14.390000343322754,0.054999999701976776,5.0,0,0,2024-01-06,1,2024,2024_01,65.7,69.31,71.95,2.6400000000000006
3046920012072,LINDOR NOEL PICK & MIX 35,12.180000305175781,12.989999771118164,12.989999771118164,0.054999999701976776,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920001816,968G CHAMPS ELYSEES EDITI,24.850000381469727,26.989999771118164,26.989999771118164,0.054999999701976776,3.0,0,0,2024-01-06,1,2024,2024_01,74.55,78.65,80.97,2.319999999999993
3046920011372,973G CHAMPS-ELYSEES ASSOR,17.56999969482422,19.989999771118164,19.989999771118164,0.054999999701976776,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920008952,CHAMP-ELYSEES BTE 237G,9.59000015258789,11.6899995803833,11.6899995803833,0.054999999701976776,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920010580,CONN BATONNETS INCONTOUR.,9.359999656677246,9.890000343322754,9.890000343322754,0.054999999701976776,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920010788,CHAMPS ELYSEES BTE KDO,9.59000015258789,11.6899995803833,11.6899995803833,0.054999999701976776,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920608480,BOUTIQ LINDT CREAT DES 15,927.0800170898438,1122.6600341796875,1122.6600341796875,0.054999999701976776,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920000017,175G BAL PYRENEENS LAIT,5.559999942779541,6.989999771118164,6.989999771118164,0.054999999701976776,54.0,0,0,2024-01-06,1,2024,2024_01,300.24,316.75,377.46,60.70999999999998
3046920000031,175G BAL PYRENEENS NOIR,5.559999942779541,6.989999771118164,6.989999771118164,0.054999999701976776,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920000116,175G BAL PYRENEENS ASSORT,5.559999942779541,6.989999771118164,6.989999771118164,0.054999999701976776,51.0,0,0,2024-01-06,1,2024,2024_01,283.56,299.16,356.49,57.329999999999984
3046920001106,175G BALLOT PYRENEENS CAR,6.059999942779541,7.489999771118164,7.489999771118164,0.054999999701976776,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920011273,219G LINDT PYRENEENS EDLI,6.050000190734863,6.989999771118164,6.489999771118164,0.054999999701976776,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920010498,255G CONN BATONNETS PRALI,9.359999656677246,9.890000343322754,9.890000343322754,0.054999999701976776,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920011204,CNN MINI CARRES PAT AMD,8.140000343322754,8.890000343322754,11.0,0.054999999701976776,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920011211,CNN MINI CARRES PRAL FEUI,8.119999885559082,8.6899995803833,11.0,0.054999999701976776,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920608879,BOUTIQ LIND MENT LT OR 20,950.4000244140625,938.0,938.0,0.054999999701976776,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
