 Code Secteur ; Libellé Secteur ; Code Rayon ; Libellé Rayon ; Code Groupe de Famille  ; Libellé  Groupe de Famille  ; Code Famille  ; Libellé  Famille  ; Code Sous-Famille  ; Libellé  Sous-Famille  ; Code Unité de Besoin  ; Code UG  ; EAN ; Article Libellé Court ; Article Libellé Long ; Libellé Marque ; Libellé Fournisseur ; PAHT ; PV Mag ; PV Mag HT ; TVA en % ; Quantité vendue * ; Type Qté ; Montant achat HT * ; Montant vente TTC * ; Marge en valeur ; Marge en % ; Stock en quantité ;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;0; FRUITS SIMPLES ;10;3470258;5,4001E+12; 680G CERISE DENOYA ; 680G CERISE DENOYAUT SP C ; CRF CLASS ; GLOBAL GREEN EUROPE ;1,21;2,39;2,27;0,055;10; UVC ;12,1;23,9;10,55403;0,4185698;15;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;0; FRUITS SIMPLES ;11;4011239;1;  ;  ;  ;  ;  ;  ;  ;  ;6;  ;4,92;7,5;2,189005;0,2766515;11;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;0; FRUITS SIMPLES ;11;4011239;3,56007E+12; TRANCHES DE MANGUE ; TRANCHES DE MANGUES 1/2 C ; CRF CLASS ; BROUSSE VERGEZ ;0,82;1,25;1,18;0,055;6; UVC ;4,92;7,5;2,189005;0,2766515;11;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;0; FRUITS SIMPLES ;12;1070891;1;  ;  ;  ;  ;  ;  ;  ;  ;1;  ;1,95;4,15;1,983649;0,453069;26;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;0; FRUITS SIMPLES ;12;1070891;3,08092E+12; 250G LYCHEES DENOY ; 250G LYCHEES DENOY SIROP ; ST MAMET ; SAINT MAMET DISTRIBU ;1,95;4,15;3,93;0,055;1; UVC ;1,95;4,15;1,983649;0,453069;26;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;0; FRUITS SIMPLES ;12;27358;1;  ;  ;  ;  ;  ;  ;  ;  ;1;  ;1,24;3,19;1,783697;0,5300024;12;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;0; FRUITS SIMPLES ;12;27358;3,56007E+12; 3/4 LITCHIS SIROP ; 3/4 LITCHIS SIROP LEG. CR ; CRF CLASS ; BROUSSE VERGEZ ;1,24;3,19;3,02;0,055;1; UVC ;1,24;3,19;1,783697;0,5300024;12;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;0; FRUITS SIMPLES ;99;2144976;1;  ;  ;  ;  ;  ;  ;  ;  ;5;  ;5,1;6,75;1,298104;0,182286;17;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;0; FRUITS SIMPLES ;99;2144976;3,56007E+12; 312G MANDARINE JUS ; 312G MANDARINE JUS CRF CL ; CRF CLASS ; TL FOOD ;1,02;1,35;1,28;0,055;5; UVC ;5,1;6,75;1,298104;0,182286;17;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;1; ANANAS ;  ;6;6;  ;  ;  ;  ;  ;  ;  ;  ;37;  ;55,24;93,25;33,14862;0,3191338;48;  ;  ;
