 Code Secteur ; Libellé Secteur ; Code Rayon ; Libellé Rayon ; Code Groupe de Famille  ; Libellé  Groupe de Famille  ; Code Famille  ; Libellé  Famille  ; Code Sous-Famille  ; Libellé  Sous-Famille  ; Code Unité de Besoin  ; Code UG  ; EAN ; Article Libellé Court ; Article Libellé Long ; Libellé Marque ; Libellé Fournisseur ; PAHT ; PV Mag ; PV Mag HT ; TVA en % ; Quantité vendue * ; Type Qté ; Montant achat HT * ; Montant vente TTC * ; Marge en valeur ; Marge en % ; Stock en quantité ;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;1; SODAS ;1;1009107;3,12448E+12; PET 1.5L ORANGINA ; PET 1.5L ORANGINA LIGHT ; ORANGINA ; ORANGINA SCHWEPPES ;1,77;1,74;1,65;0,055;28; UVC ;49,56;48,72;-3,379905;-0,06575742;3;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;1; SODAS ;1;1142000;1;  ;  ;  ;  ;  ;  ;  ;  ;4;  ;2,2;5,16;2,690995;0,494323;14;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;1; SODAS ;1;1142000;3,24541E+12; PET 1.5L PULP ORAN ; PET 1.5L PULP ORAN.LIGHT ; CRF CLASS ; LAITERIE SAINT DENIS ;0,55;1,29;1,22;0,055;4; UVC ;2,2;5,16;2,690995;0,494323;14;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;1; SODAS ;1;2723720;1;  ;  ;  ;  ;  ;  ;  ;  ;67;  ;119,93;122,81;-3,522417;-0,02718658;83;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;1; SODAS ;1;2723720;3,24976E+12; ORANGINA JAUNE 1L5 ; ORANGINA JAUNE 1.5L ; ORANGINA ; ORANGINA SCHWEPPES ;1,79;1,8;1,71;0,055;67; UVC ;119,93;122,81;-3,522417;-0,02718658;83;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;1; SODAS ;1;2230643;1;  ;  ;  ;  ;  ;  ;  ;  ;19;  ;26,98;30,59;2,015261;0,06244523;139;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;1; SODAS ;1;2230643;3,24976E+12; 1L ORANGINA ; ORANGINA 1L ; ORANGINA ; ORANGINA SCHWEPPES ;1,42;1,61;1,53;0,055;19; UVC ;26,98;30,59;2,015261;0,06244523;139;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;1; SODAS ;1;1138927;1;  ;  ;  ;  ;  ;  ;  ;  ;8;  ;12,24;13,44;0,4993365;0,03521613;15;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;1; SODAS ;1;1138927;3,26022E+12; SODA QUEBEC 1.5L ; QUEBEC SODA PET 1.5L ; QUEBEC ; SOURCES ALMA FACTURA ;1,53;1,39;1,32;0,055;8; UVC ;12,24;13,44;0,4993365;0,03521613;15;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;1; SODAS ;1;13345;1;  ;  ;  ;  ;  ;  ;  ;  ;18;  ;15,48;19,62;3,117157;0,1505938;87;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;1; SODAS ;1;13345;3,27019E+12; PET 1.5L PULP ORAN ; PET 1.5L PULP ORANGE CRF ; CRF CLASS ; LAITERIE SAINT DENIS ;0,86;1,09;1,03;0,055;18; UVC ;15,48;19,62;3,117157;0,1505938;87;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;1; SODAS ;1;1270551;1;  ;  ;  ;  ;  ;  ;  ;  ;5;  ;9,8;12,45;2,000948;0,15234;0;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;1; SODAS ;1;1270551;3,50211E+12; MIRINDA ORANGE 2L ; MIRINDA ORANGE PET 2L ; MIRINDA ; PEPSICO FRANCE ;1,96;2,49;2,36;0,055;5; UVC ;9,8;12,45;2,000948;0,15234;0;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;1; SODAS ;1;1328045;1;  ;  ;  ;  ;  ;  ;  ;  ;9;  ;4,95;7,74;2,386493;0,2922582;14;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;1; SODAS ;1;1328045;3,56007E+12; PET 1,5L PULPE ORA ; PET 1,5L PULPE ORANGE SIM ; SIMPL ; LAITERIE SAINT DENIS ;0,55;0,86;0,82;0,055;9; UVC ;4,95;7,74;2,386493;0,2922582;14;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;1; SODAS ;1;22369;1;  ;  ;  ;  ;  ;  ;  ;  ;7;  ;2,1;2,66;0,421327;0,1501361;10;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;1; SODAS ;1;22369;3,56007E+12; PET 1,5L SODA ORAN ; PET 1,5L SODA ORANGE SIMP ; PP BLANC ; SOURCES ALMA FACTURA ;0,3;0,38;0,36;0,055;7; UVC ;2,1;2,66;0,421327;0,1501361;10;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;1; SODAS ;1;4242974;1;  ;  ;  ;  ;  ;  ;  ;  ;10;  ;8,2;12,9;4,027488;0,2959321;13;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;1; SODAS ;1;4242974;3,56007E+12; PET 1,5L PULP ORAN ; PET 1,5L PULP ORAN SANG C ; CRF CLASS ; LAITERIE SAINT DENIS ;0,82;1,35;1,28;0,055;10; UVC ;8,2;12,9;4,027488;0,2959321;13;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;1; SODAS ;1;1551024;1;  ;  ;  ;  ;  ;  ;  ;  ;28;  ;61,6;51,8;-12,50047;-0,2287411;196;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;1; SODAS ;1;1551024;5,449E+12; 2L FANTA ORANGE ; FANTA ORANGE PET 2L ; FANTA ; COCA COLA EUROPACIFI ;2,2;1,85;1,75;0,055;28; UVC ;61,6;51,8;-12,50047;-0,2287411;196;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;1; SODAS ;1;1600783;1;  ;  ;  ;  ;  ;  ;  ;  ;9;  ;19,17;24,75;4,289716;0,1642861;0;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;1; SODAS ;1;1600783;5,449E+12; PET 2L HAWAI TROPI ; 2L BOISSON EXOTIQUE HAWAI ; HAWAIIAN ; COCA COLA EUROPACIFI ;2,13;2,75;2,61;0,055;9; UVC ;19,17;24,75;4,289716;0,1642861;0;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;1; SODAS ;1;11012;1;  ;  ;  ;  ;  ;  ;  ;  ;162;  ;260,82;224,46;-48,06171;-0,2029587;507;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;1; SODAS ;1;11012;5,449E+12; PET 1.25L FANTA O ; PET 1.25L FANTA ORANGE ; FANTA ; COCA COLA EUROPACIFI ;1,61;1,33;1,26;0,055;162; UVC ;260,82;224,46;-48,06171;-0,2029587;507;  ;  
1; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ;1; SODAS ;1;1217089;1;  ;  ;  ;  ;  ;  ;  ;  ;17;  ;23,97;24,65;-0,6050711;-0,02326682;7;  ;  
