  ; Magasin 7512 CUSSET ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; édité le 09/03/2024 16:28 ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 002 ; BASE EXTRAIT NATUREL DE FRUITS ; 099 ; B.PETILL AUTRES > 1L ; 0000004302618 ; 1L SCHWEPPES VIRG TONIC ; U52693 ;3,12448E+12; 1L SCHWEPPES VIRG ; 1L SCHWEPPES VIRG TONIC ;1,63; PF ;1,44;1,79; E ;1,79; PVC ; E ;0,055;  ; UVC ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 002 ; BASE EXTRAIT NATUREL DE FRUITS ; 099 ; B.PETILL AUTRES > 1L ; 0000002807813 ; LORINA COCKTAI MOJITO TROP 1L5 ;  ;1;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0;  ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 002 ; BASE EXTRAIT NATUREL DE FRUITS ; 099 ; B.PETILL AUTRES > 1L ; 0000002807813 ; LORINA COCKTAI MOJITO TROP 1L5 ;  ;3,55172E+12; LORINA COCKTAI MOJ ; LORINA COCKTAI MOJITO TRO ;  ;  ;0;  ;  ;  ;  ;  ;0,055;  ; UVC ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 002 ; BASE EXTRAIT NATUREL DE FRUITS ; 099 ; B.PETILL AUTRES > 1L ; 0000001593608 ; PET 1,5L DBL EXOTIQUE CRF KDS ;  ;1;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0;  ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 002 ; BASE EXTRAIT NATUREL DE FRUITS ; 099 ; B.PETILL AUTRES > 1L ; 0000001593608 ; PET 1,5L DBL EXOTIQUE CRF KDS ;124312;3,56007E+12; DIABOLO PECHE ; CRF KIDS DIABO.PECHE 1,5L ;0,7; DPV ;0,74;1,35; E ;1,35; PVC ; E ;0,055;  ; UVC ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 002 ; BASE EXTRAIT NATUREL DE FRUITS ; 099 ; B.PETILL AUTRES > 1L ; 0000003843473 ; 1L CITRONNADE PETIL CRF SENS ;  ;1;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0;  ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 002 ; BASE EXTRAIT NATUREL DE FRUITS ; 099 ; B.PETILL AUTRES > 1L ; 0000003843473 ; 1L CITRONNADE PETIL CRF SENS ; P97143 ;3,56007E+12; 1L CITRONNADE PETI ; 1L CITRONNADE PETIL CRF S ;0,63; DPV ;0,74;1,25; E ;1,25; PVC ; E ;0,055;  ; UVC ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 002 ; BASE EXTRAIT NATUREL DE FRUITS ; 099 ; B.PETILL AUTRES > 1L ; 0000003827020 ; 75CL INFUSEES BIO THE VERT MEN ;  ;1;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0;  ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 002 ; BASE EXTRAIT NATUREL DE FRUITS ; 099 ; B.PETILL AUTRES > 1L ; 0000003827020 ; 75CL INFUSEES BIO THE VERT MEN ;342171;3,7602E+12; 75CL INFUSEES BIO ; 75CL INFUSEES BIO THE VER ;1,48; PF ;1,72;1,99; E ;1,99; PVC ; E ;0,055;  ; UVC ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 002 ; BASE EXTRAIT NATUREL DE FRUITS ; 099 ; B.PETILL AUTRES > 1L ; 0000003827019 ; 75CL INFUSEES BIO ANIS VERT ;  ;1;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0;  ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 002 ; BASE EXTRAIT NATUREL DE FRUITS ; 099 ; B.PETILL AUTRES > 1L ; 0000003827019 ; 75CL INFUSEES BIO ANIS VERT ;342179;3,7602E+12; 75CL INFUSEES BIO ; 75CL INFUSEES BIO ANIS VE ;1,28; PF ;1,49;1,99; E ;1,99; PVC ; E ;0,055;  ; UVC ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 002 ; BASE EXTRAIT NATUREL DE FRUITS ; 099 ; B.PETILL AUTRES > 1L ; 0000003827021 ; 75CL INFUSEES BIO HIBI GING ;  ;1;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0;  ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 002 ; BASE EXTRAIT NATUREL DE FRUITS ; 099 ; B.PETILL AUTRES > 1L ; 0000003827021 ; 75CL INFUSEES BIO HIBI GING ;342162;3,7602E+12; 75CL INFUSEES BIO ; 75CL INFUSEES BIO HIBI GI ;1,36; PF ;1,58;1,99; E ;1,99; PVC ; E ;0,055;  ; UVC ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 002 ; BASE EXTRAIT NATUREL DE FRUITS ; 099 ; B.PETILL AUTRES > 1L ; 0000003951084 ; CAN 33CL KYO BIO KOMB GINGEM ;  ;1;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0;  ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 002 ; BASE EXTRAIT NATUREL DE FRUITS ; 099 ; B.PETILL AUTRES > 1L ; 0000003951084 ; CAN 33CL KYO BIO KOMB GINGEM ; R31930 ;3,76027E+12; CAN 33CL KYO BIO K ; CAN 33CL KYO BIO KOMB GIN ;1,53; DPV ;1,77;2,59; E ;2,59; PVC ; E ;0,055;  ; UVC ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 002 ; BASE EXTRAIT NATUREL DE FRUITS ; 099 ; B.PETILL AUTRES > 1L ; 0000003951088 ; CAN 33CL KYO BIO KOMB FRB CIT ;  ;1;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0;  ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 002 ; BASE EXTRAIT NATUREL DE FRUITS ; 099 ; B.PETILL AUTRES > 1L ; 0000003951088 ; CAN 33CL KYO BIO KOMB FRB CIT ; R31933 ;3,76027E+12; CAN 33CL KYO BIO K ; CAN 33CL KYO BIO KOMB FRB ;1,53; DPV ;1,76;2,65; E ;2,65; PVC ; E ;0,055;  ; UVC ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 002 ; BASE EXTRAIT NATUREL DE FRUITS ; 099 ; B.PETILL AUTRES > 1L ; 0000003951086 ; CAN 33CL KYO  BIO KOMB PECH SU ;  ;1;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0;  ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 002 ; BASE EXTRAIT NATUREL DE FRUITS ; 099 ; B.PETILL AUTRES > 1L ; 0000003951086 ; CAN 33CL KYO  BIO KOMB PECH SU ; R31936 ;3,76027E+12; CAN 33CL KYO  BIO ; CAN 33CL KYO  BIO KOMB PE ;1,53; DPV ;1,76;2,65; E ;2,65; PVC ; E ;0,055;  ; UVC ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 002 ; BASE EXTRAIT NATUREL DE FRUITS ; 099 ; B.PETILL AUTRES > 1L ; 0000001804486 ; PET 1,5L PAMPLEMOUSSE ORANGE ;  ;1;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0;  ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 002 ; BASE EXTRAIT NATUREL DE FRUITS ; 099 ; B.PETILL AUTRES > 1L ; 0000001804486 ; PET 1,5L PAMPLEMOUSSE ORANGE ;582545;5,449E+12; PET 1,5L FINLEY PA ; PET 1,5L FINLEY PAMP/ORAN ;1,51; DPV ;1,14;1,65; E ;1,65; PVC ; E ;0,055;  ; UVC ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 002 ; BASE EXTRAIT NATUREL DE FRUITS ; 099 ; B.PETILL AUTRES > 1L ; 0000001804487 ; PET 1,5L FINLEY ORANGE CRANBER ;  ;1;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0;  ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 002 ; BASE EXTRAIT NATUREL DE FRUITS ; 099 ; B.PETILL AUTRES > 1L ; 0000001804487 ; PET 1,5L FINLEY ORANGE CRANBER ;623037;5,449E+12; FINLEY ORANG/CRANB ; FINLEY ORAN/CRANBER 1,5L ;1,51; DPV ;1,14;1,65; R ;1,65; PVC ; R ;0,055;  ; UVC ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 002 ; BASE EXTRAIT NATUREL DE FRUITS ; 099 ; B.PETILL AUTRES > 1L ; 0000001807051 ; 1,5L FINLEY CITRON F.SUREAU ;  ;1;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0;  ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 002 ; BASE EXTRAIT NATUREL DE FRUITS ; 099 ; B.PETILL AUTRES > 1L ; 0000001807051 ; 1,5L FINLEY CITRON F.SUREAU ;582427;5,449E+12; 1,5L FINLEY CITRON ; FINLEY CITRON FL.SUREAU ;1,51; DPV ;1,14;1,65; E ;1,65; PVC ; E ;0,055;  ; UVC ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 002 ; BASE EXTRAIT NATUREL DE FRUITS ; 099 ; B.PETILL AUTRES > 1L ; 0000002686511 ; PET 1,5L FINLEY MOJITO ;  ;1;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0;  ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 002 ; BASE EXTRAIT NATUREL DE FRUITS ; 099 ; B.PETILL AUTRES > 1L ; 0000002686511 ; PET 1,5L FINLEY MOJITO ;582470;5,449E+12; FINLEY MOJITO ; FINLEY MOJITO PET 1,5L ;1,51; DPV ;1,14;1,65; E ;1,65; PVC ; E ;0,055;  ; UVC ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 002 ; BASE EXTRAIT NATUREL DE FRUITS ; 099 ; B.PETILL AUTRES > 1L ; 0000002686512 ; PET 1,5L FINLEY PINA COLADA ;  ;1;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0;  ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 002 ; BASE EXTRAIT NATUREL DE FRUITS ; 099 ; B.PETILL AUTRES > 1L ; 0000002686512 ; PET 1,5L FINLEY PINA COLADA ;582573;5,449E+12; FINLEY PINA COLADA ; FINLEY PINA COLA.PET 1,5L ;1,51; DPV ;1,14;1,65; E ;1,65; PVC ; E ;0,055;  ; UVC ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 002 ; BASE EXTRAIT NATUREL DE FRUITS ; 099 ; B.PETILL AUTRES > 1L ; 0000003042994 ; 1L FINLEY MOJITO ;  ;1;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0;  ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 002 ; BASE EXTRAIT NATUREL DE FRUITS ; 099 ; B.PETILL AUTRES > 1L ; 0000003042994 ; 1L FINLEY MOJITO ;958801;5,449E+12; PET 1L FINLEY MOJI ; PET 1L FINLEY MOJITO ;1,32; DPV ;0,9;1,3; E ;1,3; PVC ; E ;0,055;  ; UVC ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 002 ; BASE EXTRAIT NATUREL DE FRUITS ; 099 ; B.PETILL AUTRES > 1L ; 0000001364287 ; 1.5L BOISS.GAZ.GUARANA ANTARTI ;  ;1;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0;  ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 002 ; BASE EXTRAIT NATUREL DE FRUITS ; 099 ; B.PETILL AUTRES > 1L ; 0000001364287 ; 1.5L BOISS.GAZ.GUARANA ANTARTI ;9909606;5,60105E+12; GUARANA ANTART.1.5 ; GUARANA ANT.BOIS.GAZ 1.5L ;1,31; DPV ;1,77;2,55; E ;2,55; PVC ; E ;0,055;  ; UVC ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 002 ; BASE EXTRAIT NATUREL DE FRUITS ; 099 ; B.PETILL AUTRES > 1L ; 0000003923246 ; 750ML MINIONS POMME ;  ;1;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0;  ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 002 ; BASE EXTRAIT NATUREL DE FRUITS ; 099 ; B.PETILL AUTRES > 1L ; 0000003923246 ; 750ML MINIONS POMME ; R07408 ;5,99881E+12; 750ML MINIONS POMM ; 750ML MINIONS POMME ;1,44; PF ;1,66;1,99; T ;1,99; PVC ; T ;0,055;  ; UVC ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 002 ; BASE EXTRAIT NATUREL DE FRUITS ; 099 ; B.PETILL AUTRES > 1L ; 0000003923249 ; 750ML STRAWBERRY MINIONS DRIN ;  ;1;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0;  ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 002 ; BASE EXTRAIT NATUREL DE FRUITS ; 099 ; B.PETILL AUTRES > 1L ; 0000003923249 ; 750ML STRAWBERRY MINIONS DRIN ; R07351 ;5,99881E+12; 750ML STRAWBERRY M ; 750ML STRAWBERRY MINIONS ;1,2; PF ;1,39;1,99; T ;1,99; PVC ; T ;0,055;  ; UVC ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 002 ; BASE EXTRAIT NATUREL DE FRUITS ; 099 ; B.PETILL AUTRES > 1L ; 0000003923247 ; 750ML MINIONS RAISIN ;  ;1;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0;  ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 002 ; BASE EXTRAIT NATUREL DE FRUITS ; 099 ; B.PETILL AUTRES > 1L ; 0000003923247 ; 750ML MINIONS RAISIN ; R07346 ;5,99881E+12; 750ML MINIONS RAIS ; 750ML MINIONS RAISIN ;1,44; PF ;1,66;1,99; T ;1,99; PVC ; T ;0,055;  ; UVC ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 002 ; BASE EXTRAIT NATUREL DE FRUITS ; 099 ; B.PETILL AUTRES > 1L ; 0000003923245 ; 750ML SPONGE BOB BANANA DRINK ;  ;1;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0;  ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 002 ; BASE EXTRAIT NATUREL DE FRUITS ; 099 ; B.PETILL AUTRES > 1L ; 0000003923245 ; 750ML SPONGE BOB BANANA DRINK ; R04659 ;5,99881E+12; 750ML SPONGE BOB B ; 750ML SPONGE BOB BANANA D ;1,44; PF ;1,66;1,99; T ;1,99; PVC ; T ;0,055;  ; UVC ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 002 ; BASE EXTRAIT NATUREL DE FRUITS ; 099 ; B.PETILL AUTRES > 1L ; 0000003967841 ; NEXBA KOMBUCHA PECHE & FRAISE ;  ;1;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0;  ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 002 ; BASE EXTRAIT NATUREL DE FRUITS ; 099 ; B.PETILL AUTRES > 1L ; 0000003967841 ; NEXBA KOMBUCHA PECHE & FRAISE ; R38761 ;9,34821E+12; NEXBA KOMBUCHA PEC ; NEXBA KOMBUCHA PECHE & FR ;2,59; PF ;3,01;3,79; E ;3,79; PVC ; E ;0,055;  ; UVC ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 002 ; BASE EXTRAIT NATUREL DE FRUITS ; 099 ; B.PETILL AUTRES > 1L ; 0000003967840 ; NEXBA KOMBUCHA MANGUE 1L ;  ;1;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0;  ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 002 ; BASE EXTRAIT NATUREL DE FRUITS ; 099 ; B.PETILL AUTRES > 1L ; 0000003967840 ; NEXBA KOMBUCHA MANGUE 1L ; R38758 ;9,34821E+12; NEXBA KOMBUCHA MAN ; NEXBA KOMBUCHA MANGUE 1L ;2,59; PF ;3,01;3,79; E ;3,79; PVC ; E ;0,055;  ; UVC ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 003 ; TONICS & BITTER ;  ;  ;63;  ;  ;98;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;153,25;  ;1878;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 003 ; TONICS & BITTER ; 001 ; BRSA TONIC PET 1.5L ;9,9E+13; GANGSTAR ;  ;1;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;17;  ;667;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 003 ; TONICS & BITTER ; 001 ; BRSA TONIC PET 1.5L ;9,9E+13; GANGSTAR ;9912689; 0745604562867 ; GANGSTAR ; GANGSTAR ;0,69; PF ;0,73;0,99; E ;0,99; PVC ; E ;0,055;17; UVC ;667;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 003 ; TONICS & BITTER ; 001 ; BRSA TONIC PET 1.5L ;9,9E+13; GANGSTAR CANETTE ;  ;1;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0;  ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 003 ; TONICS & BITTER ; 001 ; BRSA TONIC PET 1.5L ;9,9E+13; GANGSTAR CANETTE ;9912665; 0745604562874 ; GANGSTAR CANETTE ; GANGSTAR CANETTE ;0,69; PF ;0,73;0,99; E ;0,99; PVC ; E ;0,055;  ; UVC ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 003 ; TONICS & BITTER ; 001 ; BRSA TONIC PET 1.5L ; 0000000022305 ; PET 1.5L SODA LEMON GINI ;  ;1;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;11;  ;12;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 003 ; TONICS & BITTER ; 001 ; BRSA TONIC PET 1.5L ; 0000000022305 ; PET 1.5L SODA LEMON GINI ; 030417 ;3,12448E+12; GINI LEMON 1.5L ; GINI SODA LEMON PET 1.5L ;1,75; DPV ;1,55;1,99; E ;1,99; PVC ; E ;0,055;11; UVC ;12;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 003 ; TONICS & BITTER ; 001 ; BRSA TONIC PET 1.5L ; 0000001009097 ; PET1.5L INDIAN TONIC SCHWEPPES ;  ;6;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;19;  ;251;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 003 ; TONICS & BITTER ; 001 ; BRSA TONIC PET 1.5L ; 0000001009097 ; PET1.5L INDIAN TONIC SCHWEPPES ;  ;3,12448E+12; PET 2X1.5L INDIAN ; SCHW. INDIAN TONIC PET 2X ;3,27; PF ;  ;3,36; E ;3,28; PVB ; E ;0,055;  ; UVC ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 003 ; TONICS & BITTER ; 001 ; BRSA TONIC PET 1.5L ; 0000001009097 ; PET1.5L INDIAN TONIC SCHWEPPES ;666602;3,12448E+12; SCHWEPPES INDIAN ; SCHWEPPES INDIAN TONIC PE ;1,66; DPV ;0;1,95; E ;1,95; PVC ; E ;0,055;  ; UVC ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 003 ; TONICS & BITTER ; 001 ; BRSA TONIC PET 1.5L ; 0000001009097 ; PET1.5L INDIAN TONIC SCHWEPPES ;561054;3,12448E+12; 2X1,5L INDIAN TONI ; SCHW.INDIAN TONIC FS2X1.5 ;3,21; PF ;2,68;3,36; E ;3,36; PVC ; E ;0,055;  ; UVC ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 003 ; TONICS & BITTER ; 001 ; BRSA TONIC PET 1.5L ; 0000001009097 ; PET1.5L INDIAN TONIC SCHWEPPES ;502142;3,12448E+12; 1.5L SCHWEPPES ; SCHWEPPES INDIAN PET1.5L ;1,73; DPV ;0;1,7; E ;1,64; PVB ; E ;0,055;  ; UVC ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 003 ; TONICS & BITTER ; 001 ; BRSA TONIC PET 1.5L ; 0000001009097 ; PET1.5L INDIAN TONIC SCHWEPPES ; S96667 ;3,12448E+12; 1,5L SCHWEPPES IND ; 1,5L SCHWEPPES INDIAN TON ;1,83; DPV ;1,62;1,95; E ;1,95; PVC ; E ;0,055;19; UVC ;251;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 003 ; TONICS & BITTER ; 001 ; BRSA TONIC PET 1.5L ; 0000001009097 ; PET1.5L INDIAN TONIC SCHWEPPES ;  ;3,12448E+12; SCHW INDIAN TONIC ; SCHW INDIAN TONIC PET 2X1 ;  ;  ;3,25;3,9; E ;3,9; PVC ; E ;0,055;  ; UVC ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 003 ; TONICS & BITTER ; 001 ; BRSA TONIC PET 1.5L ; 0000003744402 ; PET 1.5L SCHWEPPES TONIC ROSE ;  ;1;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0;  ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 003 ; TONICS & BITTER ; 001 ; BRSA TONIC PET 1.5L ; 0000003744402 ; PET 1.5L SCHWEPPES TONIC ROSE ; P37987 ;3,12448E+12; PET 1.5L SCHWEPPES ; PET 1.5L SCHWEPPES TONIC ;2,05; DPV ;1,79;2,49; E ;2,49; PVC ; E ;0,055;  ; UVC ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 003 ; TONICS & BITTER ; 001 ; BRSA TONIC PET 1.5L ; 0000001050504 ; PET 1.5L TONIC CRF CLASSIC ;  ;1;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;17;  ;11;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 003 ; TONICS & BITTER ; 001 ; BRSA TONIC PET 1.5L ; 0000001050504 ; PET 1.5L TONIC CRF CLASSIC ;304793;3,27019E+12; PET 1.5L TONIC CRF ; PET 1.5L TONIC CRF CLASSI ;0,56; DPV ;0,65;0,79; E ;0,79; PVC ; E ;0,055;17; UVC ;11;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 003 ; TONICS & BITTER ; 001 ; BRSA TONIC PET 1.5L ; 0000002884303 ; 1.5L CAT TONIC ;  ;2;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0;  ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 003 ; TONICS & BITTER ; 001 ; BRSA TONIC PET 1.5L ; 0000002884303 ; 1.5L CAT TONIC ;  ;3,27133E+12; 1,5L CAT TONIC ; CAT TONIC 1,5L ;  ;  ;0;  ;  ;  ;  ;  ;0,055;  ; UVC ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 003 ; TONICS & BITTER ; 001 ; BRSA TONIC PET 1.5L ; 0000002884303 ; 1.5L CAT TONIC ;  ;3,27134E+12; CAT TONIC 150 CL P ; CAT TONIC 150 CL PET ;  ;  ;0;  ;  ;  ;  ;  ;0,055;  ; UVC ;0;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 003 ; TONICS & BITTER ; 001 ; BRSA TONIC PET 1.5L ; 0000002555159 ; PET 1,5L TONIC ZERO CRF CLASS ;  ;1;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;16;  ;21;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 003 ; TONICS & BITTER ; 001 ; BRSA TONIC PET 1.5L ; 0000002555159 ; PET 1,5L TONIC ZERO CRF CLASS ;643225;3,56007E+12; PET 1,5L TONIC ZER ; PET 1,5L TONIC ZERO CRF S ;0,43; DPV ;0,5;0,89; E ;0,89; PVC ; E ;0,055;16; UVC ;21;  ;  
 01 ; PGC ;10; BOISSONS ;100; SOFTS DRINKS ;1000; GAZEIFIES ; 003 ; TONICS & BITTER ; 002 ; BRSA TONIC PET 50 CL ; 0000001080815 ; PET 4X50CL INDIAN TONIC SCHWEP ;  ;2;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;7;  ;79;  ;  
